"GO.ID","Term","Annotated","Significant","Expected","classicFisher","Enrichment"
"GO:0006360","transcription by RNA polymerase I",51,0,0.08,"1.0000",-0.11
"GO:0006364","rRNA processing",214,0,0.33,"1.0000",-0.41
"GO:0006367","transcription initiation from RNA polyme...",64,0,0.1,"1.0000",-0.14
"GO:0006368","transcription elongation from RNA polyme...",54,0,0.08,"1.0000",-0.11
"GO:0006376","mRNA splice site selection",27,0,0.04,"1.0000",-0.06
"GO:0006378","mRNA polyadenylation",45,0,0.07,"1.0000",-0.1
"GO:0006383","transcription by RNA polymerase III",46,0,0.07,"1.0000",-0.1
"GO:0006390","mitochondrial transcription",20,0,0.03,"1.0000",-0.04
"GO:0006396","RNA processing",837,0,1.3,"1.0000",-1.2
"GO:0006397","mRNA processing",438,0,0.68,"1.0000",-0.75
"GO:0006399","tRNA metabolic process",167,0,0.26,"1.0000",-0.33
"GO:0006400","tRNA modification",77,0,0.12,"1.0000",-0.16
"GO:0006401","RNA catabolic process",251,0,0.39,"1.0000",-0.48
"GO:0006402","mRNA catabolic process",218,0,0.34,"1.0000",-0.42
"GO:0006403","RNA localization",158,0,0.25,"1.0000",-0.32
"GO:0006405","RNA export from nucleus",69,0,0.11,"1.0000",-0.15
"GO:0006406","mRNA export from nucleus",52,0,0.08,"1.0000",-0.11
"GO:0006412","translation",585,0,0.91,"1.0000",-0.93
"GO:0006413","translational initiation",100,0,0.16,"1.0000",-0.21
"GO:0006414","translational elongation",50,0,0.08,"1.0000",-0.11
"GO:0006417","regulation of translation",342,0,0.53,"1.0000",-0.61
"GO:0006418","tRNA aminoacylation for protein translat...",39,0,0.06,"1.0000",-0.08
"GO:0006446","regulation of translational initiation",57,0,0.09,"1.0000",-0.12
"GO:0006457","protein folding",148,0,0.23,"1.0000",-0.3
"GO:0006458","'de novo' protein folding",38,0,0.06,"1.0000",-0.08
"GO:0006469","negative regulation of protein kinase ac...",180,0,0.28,"1.0000",-0.36
"GO:0006470","protein dephosphorylation",229,0,0.36,"1.0000",-0.44
"GO:0006471","protein ADP-ribosylation",30,0,0.05,"1.0000",-0.07
"GO:0006473","protein acetylation",201,0,0.31,"1.0000",-0.39
"GO:0006475","internal protein amino acid acetylation",162,0,0.25,"1.0000",-0.32
"GO:0006479","protein methylation",188,0,0.29,"1.0000",-0.37
"GO:0006482","protein demethylation",30,0,0.05,"1.0000",-0.07
"GO:0006487","protein N-linked glycosylation",58,0,0.09,"1.0000",-0.12
"GO:0006497","protein lipidation",92,0,0.14,"1.0000",-0.19
"GO:0006505","GPI anchor metabolic process",34,0,0.05,"1.0000",-0.07
"GO:0006506","GPI anchor biosynthetic process",33,0,0.05,"1.0000",-0.07
"GO:0006509","membrane protein ectodomain proteolysis",41,0,0.06,"1.0000",-0.08
"GO:0006511","ubiquitin-dependent protein catabolic pr...",597,0,0.93,"1.0000",-0.95
"GO:0006513","protein monoubiquitination",85,0,0.13,"1.0000",-0.18
"GO:0006515","protein quality control for misfolded or...",28,0,0.04,"1.0000",-0.06
"GO:0006518","peptide metabolic process",751,0,1.17,"1.0000",-1.12
"GO:0006520","cellular amino acid metabolic process",209,0,0.33,"1.0000",-0.41
"GO:0006536","glutamate metabolic process",22,0,0.03,"1.0000",-0.04
"GO:0006541","glutamine metabolic process",20,0,0.03,"1.0000",-0.04
"GO:0006575","cellular modified amino acid metabolic p...",152,0,0.24,"1.0000",-0.31
"GO:0006576","cellular biogenic amine metabolic proces...",84,0,0.13,"1.0000",-0.18
"GO:0006582","melanin metabolic process",20,0,0.03,"1.0000",-0.04
"GO:0006584","catecholamine metabolic process",53,0,0.08,"1.0000",-0.11
"GO:0006605","protein targeting",257,0,0.4,"1.0000",-0.49
"GO:0006606","protein import into nucleus",160,0,0.25,"1.0000",-0.32
"GO:0006611","protein export from nucleus",65,0,0.1,"1.0000",-0.14
"GO:0006612","protein targeting to membrane",110,0,0.17,"1.0000",-0.23
"GO:0006622","protein targeting to lysosome",20,0,0.03,"1.0000",-0.04
"GO:0006623","protein targeting to vacuole",35,0,0.05,"1.0000",-0.07
"GO:0006626","protein targeting to mitochondrion",70,0,0.11,"1.0000",-0.15
"GO:0006629","lipid metabolic process",1017,0,1.59,"1.0000",-1.37
"GO:0006631","fatty acid metabolic process",287,0,0.45,"1.0000",-0.54
"GO:0006633","fatty acid biosynthetic process",112,0,0.17,"1.0000",-0.23
"GO:0006635","fatty acid beta-oxidation",67,0,0.1,"1.0000",-0.14
"GO:0006636","unsaturated fatty acid biosynthetic proc...",34,0,0.05,"1.0000",-0.07
"GO:0006637","acyl-CoA metabolic process",66,0,0.1,"1.0000",-0.14
"GO:0006638","neutral lipid metabolic process",102,0,0.16,"1.0000",-0.21
"GO:0006639","acylglycerol metabolic process",100,0,0.16,"1.0000",-0.21
"GO:0006641","triglyceride metabolic process",76,0,0.12,"1.0000",-0.16
"GO:0006643","membrane lipid metabolic process",162,0,0.25,"1.0000",-0.32
"GO:0006644","phospholipid metabolic process",319,0,0.5,"1.0000",-0.58
"GO:0006650","glycerophospholipid metabolic process",246,0,0.38,"1.0000",-0.46
"GO:0006654","phosphatidic acid biosynthetic process",22,0,0.03,"1.0000",-0.04
"GO:0006661","phosphatidylinositol biosynthetic proces...",97,0,0.15,"1.0000",-0.2
"GO:0006664","glycolipid metabolic process",86,0,0.13,"1.0000",-0.18
"GO:0006665","sphingolipid metabolic process",122,0,0.19,"1.0000",-0.25
"GO:0006672","ceramide metabolic process",83,0,0.13,"1.0000",-0.18
"GO:0006684","sphingomyelin metabolic process",21,0,0.03,"1.0000",-0.04
"GO:0006687","glycosphingolipid metabolic process",48,0,0.07,"1.0000",-0.1
"GO:0006688","glycosphingolipid biosynthetic process",28,0,0.04,"1.0000",-0.06
"GO:0006690","icosanoid metabolic process",65,0,0.1,"1.0000",-0.14
"GO:0006692","prostanoid metabolic process",38,0,0.06,"1.0000",-0.08
"GO:0006693","prostaglandin metabolic process",38,0,0.06,"1.0000",-0.08
"GO:0006694","steroid biosynthetic process",112,0,0.17,"1.0000",-0.23
"GO:0006695","cholesterol biosynthetic process",42,0,0.07,"1.0000",-0.1
"GO:0006720","isoprenoid metabolic process",58,0,0.09,"1.0000",-0.12
"GO:0006721","terpenoid metabolic process",40,0,0.06,"1.0000",-0.08
"GO:0006730","one-carbon metabolic process",33,0,0.05,"1.0000",-0.07
"GO:0006734","NADH metabolic process",32,0,0.05,"1.0000",-0.07
"GO:0006739","NADP metabolic process",42,0,0.07,"1.0000",-0.1
"GO:0006749","glutathione metabolic process",61,0,0.1,"1.0000",-0.14
"GO:0006753","nucleoside phosphate metabolic process",373,0,0.58,"1.0000",-0.66
"GO:0006754","ATP biosynthetic process",50,0,0.08,"1.0000",-0.11
"GO:0006757","ATP generation from ADP",80,0,0.12,"1.0000",-0.16
"GO:0006760","folic acid-containing compound metabolic...",25,0,0.04,"1.0000",-0.06
"GO:0006766","vitamin metabolic process",58,0,0.09,"1.0000",-0.12
"GO:0006767","water-soluble vitamin metabolic process",33,0,0.05,"1.0000",-0.07
"GO:0006775","fat-soluble vitamin metabolic process",22,0,0.03,"1.0000",-0.04
"GO:0006778","porphyrin-containing compound metabolic ...",36,0,0.06,"1.0000",-0.08
"GO:0006779","porphyrin-containing compound biosynthet...",29,0,0.05,"1.0000",-0.07
"GO:0006783","heme biosynthetic process",25,0,0.04,"1.0000",-0.06
"GO:0006790","sulfur compound metabolic process",253,0,0.39,"1.0000",-0.48
"GO:0006801","superoxide metabolic process",47,0,0.07,"1.0000",-0.1
"GO:0006805","xenobiotic metabolic process",43,0,0.07,"1.0000",-0.1
"GO:0006809","nitric oxide biosynthetic process",62,0,0.1,"1.0000",-0.14
"GO:0006813","potassium ion transport",208,0,0.32,"1.0000",-0.4
"GO:0006814","sodium ion transport",179,0,0.28,"1.0000",-0.36
"GO:0006817","phosphate ion transport",21,0,0.03,"1.0000",-0.04
"GO:0006820","anion transport",361,0,0.56,"1.0000",-0.64
"GO:0006821","chloride transport",80,0,0.12,"1.0000",-0.16
"GO:0006826","iron ion transport",43,0,0.07,"1.0000",-0.1
"GO:0006829","zinc ion transport",28,0,0.04,"1.0000",-0.06
"GO:0006835","dicarboxylic acid transport",79,0,0.12,"1.0000",-0.16
"GO:0006836","neurotransmitter transport",225,0,0.35,"1.0000",-0.43
"GO:0006837","serotonin transport",25,0,0.04,"1.0000",-0.06
"GO:0006839","mitochondrial transport",140,0,0.22,"1.0000",-0.29
"GO:0006858","extracellular transport",41,0,0.06,"1.0000",-0.08
"GO:0006862","nucleotide transport",23,0,0.04,"1.0000",-0.06
"GO:0006865","amino acid transport",134,0,0.21,"1.0000",-0.28
"GO:0006869","lipid transport",276,0,0.43,"1.0000",-0.52
"GO:0006879","cellular iron ion homeostasis",49,0,0.08,"1.0000",-0.11
"GO:0006882","cellular zinc ion homeostasis",24,0,0.04,"1.0000",-0.06
"GO:0006884","cell volume homeostasis",27,0,0.04,"1.0000",-0.06
"GO:0006885","regulation of pH",74,0,0.12,"1.0000",-0.16
"GO:0006886","intracellular protein transport",767,0,1.2,"1.0000",-1.14
"GO:0006887","exocytosis",338,0,0.53,"1.0000",-0.61
"GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",109,0,0.17,"1.0000",-0.23
"GO:0006890","retrograde vesicle-mediated transport, G...",45,0,0.07,"1.0000",-0.1
"GO:0006891","intra-Golgi vesicle-mediated transport",28,0,0.04,"1.0000",-0.06
"GO:0006892","post-Golgi vesicle-mediated transport",101,0,0.16,"1.0000",-0.21
"GO:0006893","Golgi to plasma membrane transport",61,0,0.1,"1.0000",-0.14
"GO:0006896","Golgi to vacuole transport",22,0,0.03,"1.0000",-0.04
"GO:0006897","endocytosis",470,0,0.73,"1.0000",-0.79
"GO:0006898","receptor-mediated endocytosis",225,0,0.35,"1.0000",-0.43
"GO:0006900","vesicle budding from membrane",58,0,0.09,"1.0000",-0.12
"GO:0006903","vesicle targeting",38,0,0.06,"1.0000",-0.08
"GO:0006904","vesicle docking involved in exocytosis",42,0,0.07,"1.0000",-0.1
"GO:0006906","vesicle fusion",101,0,0.16,"1.0000",-0.21
"GO:0006907","pinocytosis",23,0,0.04,"1.0000",-0.06
"GO:0006910","phagocytosis, recognition",23,0,0.04,"1.0000",-0.06
"GO:0006911","phagocytosis, engulfment",51,0,0.08,"1.0000",-0.11
"GO:0006913","nucleocytoplasmic transport",304,0,0.47,"1.0000",-0.56
"GO:0006914","autophagy",426,0,0.66,"1.0000",-0.73
"GO:0006919","activation of cysteine-type endopeptidas...",60,0,0.09,"1.0000",-0.12
"GO:0006921","cellular component disassembly involved ...",28,0,0.04,"1.0000",-0.06
"GO:0006929","substrate-dependent cell migration",30,0,0.05,"1.0000",-0.07
"GO:0006939","smooth muscle contraction",104,0,0.16,"1.0000",-0.21
"GO:0006940","regulation of smooth muscle contraction",62,0,0.1,"1.0000",-0.14
"GO:0006949","syncytium formation",49,0,0.08,"1.0000",-0.11
"GO:0006956","complement activation",28,0,0.04,"1.0000",-0.06
"GO:0006959","humoral immune response",77,0,0.12,"1.0000",-0.16
"GO:0006970","response to osmotic stress",71,0,0.11,"1.0000",-0.15
"GO:0006979","response to oxidative stress",359,0,0.56,"1.0000",-0.64
"GO:0006984","ER-nucleus signaling pathway",41,0,0.06,"1.0000",-0.08
"GO:0006997","nucleus organization",122,0,0.19,"1.0000",-0.25
"GO:0006998","nuclear envelope organization",48,0,0.07,"1.0000",-0.1
"GO:0007004","telomere maintenance via telomerase",60,0,0.09,"1.0000",-0.12
"GO:0007005","mitochondrion organization",492,0,0.77,"1.0000",-0.82
"GO:0007006","mitochondrial membrane organization",101,0,0.16,"1.0000",-0.21
"GO:0007007","inner mitochondrial membrane organizatio...",32,0,0.05,"1.0000",-0.07
"GO:0007015","actin filament organization",399,0,0.62,"1.0000",-0.7
"GO:0007017","microtubule-based process",822,0,1.28,"1.0000",-1.19
"GO:0007018","microtubule-based movement",351,0,0.55,"1.0000",-0.63
"GO:0007019","microtubule depolymerization",52,0,0.08,"1.0000",-0.11
"GO:0007020","microtubule nucleation",35,0,0.05,"1.0000",-0.07
"GO:0007026","negative regulation of microtubule depol...",35,0,0.05,"1.0000",-0.07
"GO:0007029","endoplasmic reticulum organization",88,0,0.14,"1.0000",-0.19
"GO:0007030","Golgi organization",128,0,0.2,"1.0000",-0.26
"GO:0007031","peroxisome organization",35,0,0.05,"1.0000",-0.07
"GO:0007032","endosome organization",52,0,0.08,"1.0000",-0.11
"GO:0007033","vacuole organization",177,0,0.28,"1.0000",-0.36
"GO:0007034","vacuolar transport",148,0,0.23,"1.0000",-0.3
"GO:0007035","vacuolar acidification",20,0,0.03,"1.0000",-0.04
"GO:0007039","protein catabolic process in the vacuole",20,0,0.03,"1.0000",-0.04
"GO:0007040","lysosome organization",71,0,0.11,"1.0000",-0.15
"GO:0007041","lysosomal transport",115,0,0.18,"1.0000",-0.24
"GO:0007043","cell-cell junction assembly",119,0,0.19,"1.0000",-0.25
"GO:0007044","cell-substrate junction assembly",97,0,0.15,"1.0000",-0.2
"GO:0007049","cell cycle",1519,0,2.37,"1.0000",-1.75
"GO:0007051","spindle organization",180,0,0.28,"1.0000",-0.36
"GO:0007052","mitotic spindle organization",120,0,0.19,"1.0000",-0.25
"GO:0007059","chromosome segregation",297,0,0.46,"1.0000",-0.55
"GO:0007062","sister chromatid cohesion",48,0,0.07,"1.0000",-0.1
"GO:0007063","regulation of sister chromatid cohesion",20,0,0.03,"1.0000",-0.04
"GO:0007064","mitotic sister chromatid cohesion",24,0,0.04,"1.0000",-0.06
"GO:0007080","mitotic metaphase plate congression",48,0,0.07,"1.0000",-0.1
"GO:0007088","regulation of mitotic nuclear division",98,0,0.15,"1.0000",-0.2
"GO:0007091","metaphase/anaphase transition of mitotic...",57,0,0.09,"1.0000",-0.12
"GO:0007093","mitotic cell cycle checkpoint signaling",130,0,0.2,"1.0000",-0.26
"GO:0007094","mitotic spindle assembly checkpoint sign...",35,0,0.05,"1.0000",-0.07
"GO:0007095","mitotic G2 DNA damage checkpoint signali...",38,0,0.06,"1.0000",-0.08
"GO:0007097","nuclear migration",30,0,0.05,"1.0000",-0.07
"GO:0007098","centrosome cycle",127,0,0.2,"1.0000",-0.26
"GO:0007099","centriole replication",39,0,0.06,"1.0000",-0.08
"GO:0007127","meiosis I",91,0,0.14,"1.0000",-0.19
"GO:0007129","homologous chromosome pairing at meiosis",30,0,0.05,"1.0000",-0.07
"GO:0007131","reciprocal meiotic recombination",36,0,0.06,"1.0000",-0.08
"GO:0007140","male meiotic nuclear division",36,0,0.06,"1.0000",-0.08
"GO:0007143","female meiotic nuclear division",38,0,0.06,"1.0000",-0.08
"GO:0007156","homophilic cell adhesion via plasma memb...",99,0,0.15,"1.0000",-0.2
"GO:0007157","heterophilic cell-cell adhesion via plas...",42,0,0.07,"1.0000",-0.1
"GO:0007163","establishment or maintenance of cell pol...",214,0,0.33,"1.0000",-0.41
"GO:0007164","establishment of tissue polarity",61,0,0.1,"1.0000",-0.14
"GO:0007173","epidermal growth factor receptor signali...",89,0,0.14,"1.0000",-0.19
"GO:0007176","regulation of epidermal growth factor-ac...",26,0,0.04,"1.0000",-0.06
"GO:0007178","transmembrane receptor protein serine/th...",300,0,0.47,"1.0000",-0.56
"GO:0007179","transforming growth factor beta receptor...",160,0,0.25,"1.0000",-0.32
"GO:0007187","G protein-coupled receptor signaling pat...",27,0,0.04,"1.0000",-0.06
"GO:0007193","adenylate cyclase-inhibiting G protein-c...",57,0,0.09,"1.0000",-0.12
"GO:0007200","phospholipase C-activating G protein-cou...",65,0,0.1,"1.0000",-0.14
"GO:0007204","positive regulation of cytosolic calcium...",240,0,0.37,"1.0000",-0.45
"GO:0007205","protein kinase C-activating G protein-co...",21,0,0.03,"1.0000",-0.04
"GO:0007212","dopamine receptor signaling pathway",34,0,0.05,"1.0000",-0.07
"GO:0007214","gamma-aminobutyric acid signaling pathwa...",28,0,0.04,"1.0000",-0.06
"GO:0007215","glutamate receptor signaling pathway",45,0,0.07,"1.0000",-0.1
"GO:0007218","neuropeptide signaling pathway",60,0,0.09,"1.0000",-0.12
"GO:0007224","smoothened signaling pathway",153,0,0.24,"1.0000",-0.31
"GO:0007229","integrin-mediated signaling pathway",78,0,0.12,"1.0000",-0.16
"GO:0007249","I-kappaB kinase/NF-kappaB signaling",178,0,0.28,"1.0000",-0.36
"GO:0007254","JNK cascade",153,0,0.24,"1.0000",-0.31
"GO:0007259","receptor signaling pathway via JAK-STAT",100,0,0.16,"1.0000",-0.21
"GO:0007260","tyrosine phosphorylation of STAT protein",47,0,0.07,"1.0000",-0.1
"GO:0007263","nitric oxide mediated signal transductio...",22,0,0.03,"1.0000",-0.04
"GO:0007269","neurotransmitter secretion",175,0,0.27,"1.0000",-0.34
"GO:0007274","neuromuscular synaptic transmission",22,0,0.03,"1.0000",-0.04
"GO:0007281","germ cell development",228,0,0.36,"1.0000",-0.44
"GO:0007286","spermatid development",124,0,0.19,"1.0000",-0.25
"GO:0007288","sperm axoneme assembly",28,0,0.04,"1.0000",-0.06
"GO:0007292","female gamete generation",130,0,0.2,"1.0000",-0.26
"GO:0007338","single fertilization",84,0,0.13,"1.0000",-0.18
"GO:0007339","binding of sperm to zona pellucida",25,0,0.04,"1.0000",-0.06
"GO:0007340","acrosome reaction",21,0,0.03,"1.0000",-0.04
"GO:0007346","regulation of mitotic cell cycle",440,0,0.69,"1.0000",-0.76
"GO:0007350","blastoderm segmentation",26,0,0.04,"1.0000",-0.06
"GO:0007368","determination of left/right symmetry",107,0,0.17,"1.0000",-0.23
"GO:0007369","gastrulation",144,0,0.22,"1.0000",-0.29
"GO:0007389","pattern specification process",392,0,0.61,"1.0000",-0.69
"GO:0007405","neuroblast proliferation",68,0,0.11,"1.0000",-0.15
"GO:0007409","axonogenesis",457,0,0.71,"1.0000",-0.77
"GO:0007411","axon guidance",231,0,0.36,"1.0000",-0.44
"GO:0007413","axonal fasciculation",25,0,0.04,"1.0000",-0.06
"GO:0007416","synapse assembly",182,0,0.28,"1.0000",-0.36
"GO:0007420","brain development",621,0,0.97,"1.0000",-0.98
"GO:0007422","peripheral nervous system development",66,0,0.1,"1.0000",-0.14
"GO:0007423","sensory organ development",508,0,0.79,"1.0000",-0.84
"GO:0007431","salivary gland development",34,0,0.05,"1.0000",-0.07
"GO:0007435","salivary gland morphogenesis",31,0,0.05,"1.0000",-0.07
"GO:0007492","endoderm development",58,0,0.09,"1.0000",-0.12
"GO:0007498","mesoderm development",100,0,0.16,"1.0000",-0.21
"GO:0007507","heart development",563,0,0.88,"1.0000",-0.91
"GO:0007517","muscle organ development",285,0,0.44,"1.0000",-0.53
"GO:0007519","skeletal muscle tissue development",161,0,0.25,"1.0000",-0.32
"GO:0007520","myoblast fusion",34,0,0.05,"1.0000",-0.07
"GO:0007528","neuromuscular junction development",54,0,0.08,"1.0000",-0.11
"GO:0007548","sex differentiation",221,0,0.34,"1.0000",-0.42
"GO:0007549","dosage compensation",35,0,0.05,"1.0000",-0.07
"GO:0007565","female pregnancy",102,0,0.16,"1.0000",-0.21
"GO:0007566","embryo implantation",43,0,0.07,"1.0000",-0.1
"GO:0007568","aging",68,0,0.11,"1.0000",-0.15
"GO:0007584","response to nutrient",56,0,0.09,"1.0000",-0.12
"GO:0007585","respiratory gaseous exchange by respirat...",59,0,0.09,"1.0000",-0.12
"GO:0007586","digestion",79,0,0.12,"1.0000",-0.16
"GO:0007588","excretion",41,0,0.06,"1.0000",-0.08
"GO:0007589","body fluid secretion",73,0,0.11,"1.0000",-0.15
"GO:0007595","lactation",31,0,0.05,"1.0000",-0.07
"GO:0007596","blood coagulation",115,0,0.18,"1.0000",-0.24
"GO:0007599","hemostasis",117,0,0.18,"1.0000",-0.24
"GO:0007606","sensory perception of chemical stimulus",43,0,0.07,"1.0000",-0.1
"GO:0007608","sensory perception of smell",25,0,0.04,"1.0000",-0.06
"GO:0007610","behavior",661,0,1.03,"1.0000",-1.02
"GO:0007611","learning or memory",296,0,0.46,"1.0000",-0.55
"GO:0007612","learning",176,0,0.27,"1.0000",-0.34
"GO:0007613","memory",152,0,0.24,"1.0000",-0.31
"GO:0007616","long-term memory",43,0,0.07,"1.0000",-0.1
"GO:0007617","mating behavior",44,0,0.07,"1.0000",-0.1
"GO:0007620","copulation",21,0,0.03,"1.0000",-0.04
"GO:0007622","rhythmic behavior",53,0,0.08,"1.0000",-0.11
"GO:0007623","circadian rhythm",194,0,0.3,"1.0000",-0.38
"GO:0007626","locomotory behavior",238,0,0.37,"1.0000",-0.45
"GO:0007628","adult walking behavior",45,0,0.07,"1.0000",-0.1
"GO:0007631","feeding behavior",97,0,0.15,"1.0000",-0.2
"GO:0007632","visual behavior",69,0,0.11,"1.0000",-0.15
"GO:0008033","tRNA processing",118,0,0.18,"1.0000",-0.24
"GO:0008037","cell recognition",113,0,0.18,"1.0000",-0.24
"GO:0008038","neuron recognition",50,0,0.08,"1.0000",-0.11
"GO:0008045","motor neuron axon guidance",29,0,0.05,"1.0000",-0.07
"GO:0008053","mitochondrial fusion",29,0,0.05,"1.0000",-0.07
"GO:0008064","regulation of actin polymerization or de...",144,0,0.22,"1.0000",-0.29
"GO:0008088","axo-dendritic transport",85,0,0.13,"1.0000",-0.18
"GO:0008089","anterograde axonal transport",50,0,0.08,"1.0000",-0.11
"GO:0008090","retrograde axonal transport",24,0,0.04,"1.0000",-0.06
"GO:0008154","actin polymerization or depolymerization",174,0,0.27,"1.0000",-0.34
"GO:0008156","negative regulation of DNA replication",31,0,0.05,"1.0000",-0.07
"GO:0008202","steroid metabolic process",208,0,0.32,"1.0000",-0.4
"GO:0008203","cholesterol metabolic process",99,0,0.15,"1.0000",-0.2
"GO:0008206","bile acid metabolic process",22,0,0.03,"1.0000",-0.04
"GO:0008207","C21-steroid hormone metabolic process",24,0,0.04,"1.0000",-0.06
"GO:0008211","glucocorticoid metabolic process",21,0,0.03,"1.0000",-0.04
"GO:0008213","protein alkylation",188,0,0.29,"1.0000",-0.37
"GO:0008214","protein dealkylation",30,0,0.05,"1.0000",-0.07
"GO:0008217","regulation of blood pressure",164,0,0.26,"1.0000",-0.33
"GO:0008286","insulin receptor signaling pathway",113,0,0.18,"1.0000",-0.24
"GO:0008299","isoprenoid biosynthetic process",25,0,0.04,"1.0000",-0.06
"GO:0008306","associative learning",111,0,0.17,"1.0000",-0.23
"GO:0008333","endosome to lysosome transport",58,0,0.09,"1.0000",-0.12
"GO:0008334","histone mRNA metabolic process",20,0,0.03,"1.0000",-0.04
"GO:0008340","determination of adult lifespan",26,0,0.04,"1.0000",-0.06
"GO:0008344","adult locomotory behavior",99,0,0.15,"1.0000",-0.2
"GO:0008347","glial cell migration",57,0,0.09,"1.0000",-0.12
"GO:0008360","regulation of cell shape",142,0,0.22,"1.0000",-0.29
"GO:0008361","regulation of cell size",193,0,0.3,"1.0000",-0.38
"GO:0008380","RNA splicing",372,0,0.58,"1.0000",-0.66
"GO:0008406","gonad development",169,0,0.26,"1.0000",-0.33
"GO:0008535","respiratory chain complex IV assembly",21,0,0.03,"1.0000",-0.04
"GO:0008542","visual learning",67,0,0.1,"1.0000",-0.14
"GO:0008543","fibroblast growth factor receptor signal...",70,0,0.11,"1.0000",-0.15
"GO:0008544","epidermis development",235,0,0.37,"1.0000",-0.45
"GO:0008584","male gonad development",98,0,0.15,"1.0000",-0.2
"GO:0008585","female gonad development",93,0,0.14,"1.0000",-0.19
"GO:0008589","regulation of smoothened signaling pathw...",92,0,0.14,"1.0000",-0.19
"GO:0008608","attachment of spindle microtubules to ki...",34,0,0.05,"1.0000",-0.07
"GO:0008610","lipid biosynthetic process",522,0,0.81,"1.0000",-0.86
"GO:0008625","extrinsic apoptotic signaling pathway vi...",71,0,0.11,"1.0000",-0.15
"GO:0008630","intrinsic apoptotic signaling pathway in...",102,0,0.16,"1.0000",-0.21
"GO:0008631","intrinsic apoptotic signaling pathway in...",47,0,0.07,"1.0000",-0.1
"GO:0008637","apoptotic mitochondrial changes",110,0,0.17,"1.0000",-0.23
"GO:0008643","carbohydrate transport",126,0,0.2,"1.0000",-0.26
"GO:0008645","hexose transmembrane transport",94,0,0.15,"1.0000",-0.2
"GO:0008652","cellular amino acid biosynthetic process",52,0,0.08,"1.0000",-0.11
"GO:0008654","phospholipid biosynthetic process",207,0,0.32,"1.0000",-0.4
"GO:0009048","dosage compensation by inactivation of X...",33,0,0.05,"1.0000",-0.07
"GO:0009056","catabolic process",2027,0,3.16,"1.0000",-2.06
"GO:0009057","macromolecule catabolic process",1201,0,1.87,"1.0000",-1.52
"GO:0009060","aerobic respiration",141,0,0.22,"1.0000",-0.29
"GO:0009062","fatty acid catabolic process",84,0,0.13,"1.0000",-0.18
"GO:0009063","cellular amino acid catabolic process",68,0,0.11,"1.0000",-0.15
"GO:0009064","glutamine family amino acid metabolic pr...",55,0,0.09,"1.0000",-0.12
"GO:0009065","glutamine family amino acid catabolic pr...",21,0,0.03,"1.0000",-0.04
"GO:0009066","aspartate family amino acid metabolic pr...",29,0,0.05,"1.0000",-0.07
"GO:0009069","serine family amino acid metabolic proce...",28,0,0.04,"1.0000",-0.06
"GO:0009081","branched-chain amino acid metabolic proc...",22,0,0.03,"1.0000",-0.04
"GO:0009083","branched-chain amino acid catabolic proc...",20,0,0.03,"1.0000",-0.04
"GO:0009112","nucleobase metabolic process",27,0,0.04,"1.0000",-0.06
"GO:0009116","nucleoside metabolic process",47,0,0.07,"1.0000",-0.1
"GO:0009117","nucleotide metabolic process",366,0,0.57,"1.0000",-0.65
"GO:0009119","ribonucleoside metabolic process",27,0,0.04,"1.0000",-0.06
"GO:0009123","nucleoside monophosphate metabolic proce...",58,0,0.09,"1.0000",-0.12
"GO:0009124","nucleoside monophosphate biosynthetic pr...",41,0,0.06,"1.0000",-0.08
"GO:0009126","purine nucleoside monophosphate metaboli...",37,0,0.06,"1.0000",-0.08
"GO:0009127","purine nucleoside monophosphate biosynth...",25,0,0.04,"1.0000",-0.06
"GO:0009129","pyrimidine nucleoside monophosphate meta...",20,0,0.03,"1.0000",-0.04
"GO:0009132","nucleoside diphosphate metabolic process",114,0,0.18,"1.0000",-0.24
"GO:0009135","purine nucleoside diphosphate metabolic ...",91,0,0.14,"1.0000",-0.19
"GO:0009141","nucleoside triphosphate metabolic proces...",100,0,0.16,"1.0000",-0.21
"GO:0009142","nucleoside triphosphate biosynthetic pro...",71,0,0.11,"1.0000",-0.15
"GO:0009144","purine nucleoside triphosphate metabolic...",82,0,0.13,"1.0000",-0.18
"GO:0009145","purine nucleoside triphosphate biosynthe...",60,0,0.09,"1.0000",-0.12
"GO:0009150","purine ribonucleotide metabolic process",282,0,0.44,"1.0000",-0.53
"GO:0009152","purine ribonucleotide biosynthetic proce...",134,0,0.21,"1.0000",-0.28
"GO:0009154","purine ribonucleotide catabolic process",30,0,0.05,"1.0000",-0.07
"GO:0009156","ribonucleoside monophosphate biosyntheti...",33,0,0.05,"1.0000",-0.07
"GO:0009161","ribonucleoside monophosphate metabolic p...",47,0,0.07,"1.0000",-0.1
"GO:0009162","deoxyribonucleoside monophosphate metabo...",24,0,0.04,"1.0000",-0.06
"GO:0009165","nucleotide biosynthetic process",186,0,0.29,"1.0000",-0.37
"GO:0009166","nucleotide catabolic process",55,0,0.09,"1.0000",-0.12
"GO:0009167","purine ribonucleoside monophosphate meta...",34,0,0.05,"1.0000",-0.07
"GO:0009168","purine ribonucleoside monophosphate bios...",23,0,0.04,"1.0000",-0.06
"GO:0009179","purine ribonucleoside diphosphate metabo...",91,0,0.14,"1.0000",-0.19
"GO:0009185","ribonucleoside diphosphate metabolic pro...",101,0,0.16,"1.0000",-0.21
